%MSG-i StrawGeometryPlacementDetails:  artg4Main:artg4@BeginRun  19-Jul-2013 10:41:53 CDT run: 1 
strawInRow, layer, view, station, x, y, xStation, yStation, yRot 
0, 0, 0, 0, 78.4998, 680.36, -21.3002, 0.36, 0.1309
1, 0, 0, 0, 84.0498, 680.36, -15.7502, 0.36, 0.1309
2, 0, 0, 0, 89.5998, 680.36, -10.2002, 0.36, 0.1309
3, 0, 0, 0, 95.1498, 680.36, -4.65019, 0.36, 0.1309
4, 0, 0, 0, 100.7, 680.36, 0.899811, 0.36, 0.1309
5, 0, 0, 0, 106.25, 680.36, 6.44981, 0.36, 0.1309
6, 0, 0, 0, 111.8, 680.36, 11.9998, 0.36, 0.1309
7, 0, 0, 0, 117.35, 680.36, 17.5498, 0.36, 0.1309
0, 1, 0, 0, 81.2698, 685.12, -18.5302, 5.12, 0.1309
1, 1, 0, 0, 86.8198, 685.12, -12.9802, 5.12, 0.1309
2, 1, 0, 0, 92.3698, 685.12, -7.43019, 5.12, 0.1309
3, 1, 0, 0, 97.9198, 685.12, -1.88019, 5.12, 0.1309
4, 1, 0, 0, 103.47, 685.12, 3.66981, 5.12, 0.1309
5, 1, 0, 0, 109.02, 685.12, 9.21981, 5.12, 0.1309
6, 1, 0, 0, 114.57, 685.12, 14.7698, 5.12, 0.1309
7, 1, 0, 0, 120.12, 685.12, 20.3198, 5.12, 0.1309
0, 0, 1, 0, 81.2702, 701.91, -18.5298, 21.91, -0.1309
1, 0, 1, 0, 86.8202, 701.91, -12.9798, 21.91, -0.1309
2, 0, 1, 0, 92.3702, 701.91, -7.42981, 21.91, -0.1309
3, 0, 1, 0, 97.9202, 701.91, -1.87981, 21.91, -0.1309
4, 0, 1, 0, 103.47, 701.91, 3.67019, 21.91, -0.1309
5, 0, 1, 0, 109.02, 701.91, 9.22019, 21.91, -0.1309
6, 0, 1, 0, 114.57, 701.91, 14.7702, 21.91, -0.1309
7, 0, 1, 0, 120.12, 701.91, 20.3202, 21.91, -0.1309
0, 1, 1, 0, 78.5002, 706.68, -21.2998, 26.68, -0.1309
1, 1, 1, 0, 84.0502, 706.68, -15.7498, 26.68, -0.1309
2, 1, 1, 0, 89.6002, 706.68, -10.1998, 26.68, -0.1309
3, 1, 1, 0, 95.1502, 706.68, -4.64981, 26.68, -0.1309
4, 1, 1, 0, 100.7, 706.68, 0.900189, 26.68, -0.1309
5, 1, 1, 0, 106.25, 706.68, 6.45019, 26.68, -0.1309
6, 1, 1, 0, 111.8, 706.68, 12.0002, 26.68, -0.1309
7, 1, 1, 0, 117.35, 706.68, 17.5502, 26.68, -0.1309
0, 0, 0, 1, 83.4998, 765.36, -21.3002, 0.36, 0.1309
1, 0, 0, 1, 89.0498, 765.36, -15.7502, 0.36, 0.1309
2, 0, 0, 1, 94.5998, 765.36, -10.2002, 0.36, 0.1309
3, 0, 0, 1, 100.15, 765.36, -4.65019, 0.36, 0.1309
4, 0, 0, 1, 105.7, 765.36, 0.899811, 0.36, 0.1309
5, 0, 0, 1, 111.25, 765.36, 6.44981, 0.36, 0.1309
6, 0, 0, 1, 116.8, 765.36, 11.9998, 0.36, 0.1309
7, 0, 0, 1, 122.35, 765.36, 17.5498, 0.36, 0.1309
0, 1, 0, 1, 86.2698, 770.12, -18.5302, 5.12, 0.1309
